Gen,Domain_idpc_ndu_302_12_4930,Node_idpc_ndu_302_12_4930,Edge_idpc_ndu_302_12_4930,Domain_idpc_ndu_1002_12_82252,Node_idpc_ndu_1002_12_82252,Edge_idpc_ndu_1002_12_82252,Domain_idpc_ndu_1506_9_130556,Node_idpc_ndu_1506_9_130556,Edge_idpc_ndu_1506_9_130556,Domain_idpc_ndu_2494_12_276620,Node_idpc_ndu_2494_12_276620,Edge_idpc_ndu_2494_12_276620,Domain_idpc_ndu_2715_22_592246,Node_idpc_ndu_2715_22_592246,Edge_idpc_ndu_2715_22_592246
452,0.394444444,0.245033113,0.195334686,0.388888889,0.215701929,0.180027233,0.466666667,0.279017264,0.546893798,0.361111111,0.211146752,0.393584942,0.23030303,0.126875384,0.05462201
453,0.488888889,0.349889625,0.287018256,0.405555556,0.243712575,0.211380473,0.488888889,0.303452855,0.591867092,0.377777778,0.228842555,0.42611091,0.266666667,0.161915285,0.0704419
454,0.444444444,0.303311258,0.228803245,0.383333333,0.214836993,0.181799024,0.474074074,0.280478088,0.531190702,0.338888889,0.181903234,0.331467476,0.242424242,0.138244322,0.059237659
455,0.405555556,0.265783664,0.19459094,0.4,0.233998669,0.200992884,0.488888889,0.29747676,0.565132204,0.355555556,0.201069233,0.370323669,0.293939394,0.188090853,0.083017192
456,0.466666667,0.326710817,0.2480595,0.333333333,0.168662675,0.140942469,0.481481481,0.296060204,0.580589172,0.344444444,0.187356322,0.340454776,0.26969697,0.165549417,0.072853172
457,0.416666667,0.27196468,0.209127789,0.366666667,0.199667332,0.168346869,0.42962963,0.231297034,0.4367643,0.338888889,0.184496124,0.340398621,0.287878788,0.180650706,0.078738114
458,0.377777778,0.233995585,0.175429344,0.377777778,0.20924817,0.17668385,0.459259259,0.269632581,0.520411675,0.388888889,0.239053729,0.442880486,0.272727273,0.16412523,0.070356237
459,0.372222222,0.228697572,0.170777552,0.394444444,0.227478377,0.192569178,0.488888889,0.29729969,0.561319281,0.355555556,0.19967923,0.365020847,0.306060606,0.199975445,0.089119949
460,0.455555556,0.317218543,0.245422583,0.361111111,0.19407851,0.163584269,0.533333333,0.350110668,0.677272588,0.416666667,0.270809944,0.509265177,0.239393939,0.135764273,0.058268355
461,0.394444444,0.253642384,0.196078431,0.427777778,0.257618097,0.217281849,0.481481481,0.292253209,0.560433837,0.35,0.196925956,0.36207529,0.275757576,0.172326581,0.075837968
462,0.488888889,0.349668874,0.272035159,0.366666667,0.197937458,0.165993127,0.42962963,0.232625055,0.443482235,0.338888889,0.185939588,0.34277107,0.242424242,0.139177409,0.060128167
463,0.433333333,0.290728477,0.217119675,0.444444444,0.278110446,0.238667348,0.459259259,0.264453298,0.499721192,0.355555556,0.202699813,0.374594028,0.284848485,0.175003069,0.075245309
464,0.416666667,0.268432671,0.198607167,0.372222222,0.20592149,0.177697807,0.459259259,0.266710934,0.51320353,0.45,0.306281743,0.573756778,0.263636364,0.157544506,0.068148033
465,0.444444444,0.301545254,0.229858012,0.383333333,0.216899534,0.185383132,0.481481481,0.291412129,0.557689165,0.372222222,0.221946004,0.412742631,0.233333333,0.128520565,0.054193809
466,0.45,0.299779249,0.219621366,0.438888889,0.26912841,0.228746616,0.42962963,0.22934927,0.425029362,0.344444444,0.19251537,0.356347818,0.245454545,0.142344997,0.061457795
467,0.405555556,0.258498896,0.179783638,0.35,0.18835662,0.163311936,0.511111111,0.322664896,0.618985467,0.388888889,0.237530072,0.436579182,0.306060606,0.195702885,0.084662117
468,0.394444444,0.251214128,0.182934415,0.422222222,0.253559548,0.216010148,0.451851852,0.256440903,0.481825934,0.388888889,0.24039027,0.449023932,0.242424242,0.136157152,0.057672431
469,0.488888889,0.353200883,0.302718053,0.394444444,0.225482369,0.192226329,0.414814815,0.213191678,0.396046652,0.344444444,0.189441326,0.345965344,0.272727273,0.161645181,0.067983012
470,0.411111111,0.262913907,0.183434753,0.405555556,0.236260812,0.197619511,0.503703704,0.314342629,0.601091741,0.394444444,0.24982625,0.474491842,0.224242424,0.120294659,0.051052322
471,0.422222222,0.276821192,0.195740365,0.372222222,0.207052562,0.175845775,0.488888889,0.298849048,0.572506817,0.372222222,0.218765036,0.400495023,0.260606061,0.155138122,0.06753106
472,0.4,0.252759382,0.181000676,0.333333333,0.168662675,0.141513074,0.451851852,0.253474989,0.476420336,0.35,0.202138466,0.381510375,0.23030303,0.126580724,0.053838664
473,0.411111111,0.271081678,0.196348884,0.377777778,0.206919494,0.171823178,0.466666667,0.272288623,0.517179346,0.383333333,0.23549853,0.439673921,0.266666667,0.160417434,0.069728457
474,0.427777778,0.28388521,0.212332657,0.388888889,0.217897538,0.18209,0.488888889,0.296281541,0.56695773,0.416666667,0.26776263,0.496945268,0.287878788,0.178342541,0.077296259
475,0.438888889,0.296467991,0.211291413,0.405555556,0.235262808,0.195290084,0.474074074,0.28247012,0.54099952,0.333333333,0.178989575,0.329375557,0.236363636,0.133775322,0.0575557
476,0.455555556,0.3200883,0.259445571,0.372222222,0.210645376,0.184344859,0.496296296,0.307613988,0.589304717,0.394444444,0.245576049,0.456112356,0.248484848,0.143793738,0.062058672
477,0.405555556,0.263355408,0.211372549,0.372222222,0.203659348,0.16966396,0.518518519,0.334174413,0.645335335,0.366666667,0.214167335,0.395455137,0.266666667,0.159091467,0.068169983
478,0.4,0.257174393,0.205963489,0.427777778,0.260612109,0.222525896,0.481481481,0.293448429,0.567598068,0.372222222,0.220342155,0.40619237,0.315151515,0.205205648,0.089167902
479,0.388888889,0.24392936,0.17801217,0.344444444,0.18170326,0.154867156,0.503703704,0.314563966,0.604552836,0.344444444,0.189067094,0.347981828,0.266666667,0.158919583,0.067842642
480,0.433333333,0.287417219,0.221284652,0.372222222,0.200598802,0.165499522,0.503703704,0.313014608,0.598862812,0.4,0.24918471,0.458975972,0.26969697,0.162922038,0.070563133
481,0.427777778,0.292494481,0.262014875,0.35,0.184431138,0.155877061,0.481481481,0.291367862,0.561692045,0.383333333,0.231649292,0.426131878,0.281818182,0.176132597,0.077323725
482,0.427777778,0.286754967,0.227734956,0.361111111,0.201064538,0.173584432,0.437037037,0.241567065,0.45912099,0.427777778,0.283346699,0.532388837,0.239393939,0.136427256,0.058603576
483,0.455555556,0.311258278,0.224678837,0.377777778,0.208782435,0.174673767,0.511111111,0.321691014,0.611925406,0.394444444,0.244239508,0.452620442,0.254545455,0.150104359,0.064585437
484,0.444444444,0.298454746,0.208695064,0.394444444,0.223819029,0.185749485,0.451851852,0.255289951,0.483388482,0.333333333,0.177572841,0.32277589,0.293939394,0.18543892,0.081156254
485,0.427777778,0.284768212,0.220067613,0.338888889,0.172787758,0.144427694,0.444444444,0.249889332,0.478799391,0.338888889,0.185859396,0.344927337,0.296969697,0.182762431,0.076399334
486,0.427777778,0.289624724,0.220906018,0.361111111,0.190818363,0.156326087,0.466666667,0.273793714,0.514252888,0.35,0.20163058,0.378787747,0.251515152,0.147501535,0.063691326
487,0.422222222,0.285209713,0.241298174,0.416666667,0.251696607,0.216100115,0.459259259,0.266932271,0.511253919,0.366666667,0.213900027,0.392996168,0.306060606,0.19368938,0.082981509
488,0.405555556,0.257836645,0.191575389,0.388888889,0.220093147,0.185670865,0.481481481,0.291456397,0.558000654,0.427777778,0.278668805,0.516817053,0.257575758,0.151675875,0.065561946
489,0.394444444,0.250331126,0.174306964,0.344444444,0.175582169,0.144926162,0.444444444,0.246436476,0.464756886,0.372222222,0.217455226,0.398090521,0.281818182,0.172744015,0.074134622
490,0.433333333,0.290728477,0.221717377,0.388888889,0.224883566,0.194456872,0.511111111,0.321602479,0.614069569,0.4,0.249986635,0.463932471,0.287878788,0.17898097,0.077134614
491,0.45,0.30794702,0.225273834,0.327777778,0.158283433,0.128782279,0.525925926,0.337184595,0.644845635,0.427777778,0.280139,0.520040971,0.245454545,0.141952118,0.061314611
492,0.483333333,0.336423841,0.271075051,0.372222222,0.201929474,0.169479972,0.466666667,0.274015051,0.527548332,0.35,0.196311147,0.361724146,0.260606061,0.155948435,0.067684937
493,0.45,0.307284768,0.219175118,0.338888889,0.176380572,0.149334565,0.466666667,0.273129703,0.517913131,0.444444444,0.300133654,0.562472465,0.263636364,0.158502149,0.068547192
494,0.444444444,0.295364238,0.19142664,0.433333333,0.269926813,0.235084051,0.444444444,0.246480744,0.459713329,0.394444444,0.246324512,0.459875883,0.290909091,0.182664211,0.079217645
495,0.416666667,0.277483444,0.222150101,0.366666667,0.196274118,0.162090486,0.451851852,0.25750332,0.491964623,0.405555556,0.257284149,0.478914998,0.254545455,0.14926949,0.064077315
496,0.416666667,0.265121413,0.195699797,0.388888889,0.223353293,0.189997406,0.451851852,0.257060646,0.485706772,0.366666667,0.212322908,0.389330971,0.257575758,0.151626765,0.065032323
497,0.477777778,0.331567329,0.268951995,0.344444444,0.176979375,0.147377977,0.414814815,0.21416556,0.397102138,0.411111111,0.267334937,0.504265298,0.275757576,0.168520565,0.073529243
498,0.438888889,0.301766004,0.245016903,0.388888889,0.221956088,0.187720663,0.459259259,0.264231961,0.499971404,0.405555556,0.25407645,0.467132528,0.287878788,0.17694291,0.075512653
499,0.411111111,0.263355408,0.182758621,0.383333333,0.221357285,0.192925805,0.459259259,0.267507747,0.510588049,0.355555556,0.201256349,0.367179524,0.284848485,0.175764273,0.075512878
